ID	Name	In playlist	Owner	Release date	Duration	Play	Like	Repost	Number comment	Link
3_1	Tiësto - Color Switch Phoenix (Color Switch Soundtrack)	Color Switch Phoenix	Musical Freedom	21 August 2018	2:21	142K	3,128	434	58	https://soundcloud.com/musical-freedom/tiesto-color-switch-phoenix-color-switch-soundtrack?in=tiesto/sets/musical-freedom
0_2	bad guy	Billies list	Billie Eilish	29 March 2019	0:30	45.3M	741K	18K	0	https://soundcloud.com/billieeilish/bad-guy?in=billie-kihega/sets/billies-list
7_3	Chino Espinoza - Yeah' (Como Goza Mi Morena) (Ch 31)	chacha	Wuchang	6 January 2012	3:57	6,878	58	3	0	https://soundcloud.com/wuchang/chino-espinoza-yeah-como-goza?in=h-thanh-t-ng-3/sets/chacha
2_4	Bác sĩ Hải , GiangTo - Chưa Bao giờ mẹ Kể remix| 2021	Bác sĩ Hải , GiangTo - Chưa Bao giờ mẹ Kể remix| 2021	Bác sĩ Hải	16 October 2021	3:44	48.8K	1,039	76	27	https://soundcloud.com/bacsihai/min-erik-chua-bao-gio-me-ke-giangto-bac-si-hai-remix?in=eezayiang/sets/b-c-s-h-i-giangto-ch-a-bao-gi
6_5	Spliff	#1 MS DOCKVILLE 2016	Bilderbuch	29 October 2014	3:01	209K	4,048	414	32	https://soundcloud.com/bilderbuch/spliff?in=dockville/sets/einsmsdockville2016
7_6	Dzenan Jahic - Hayra (DJ Maksy Chacha Remix) 31BPM	chacha	DJ Maksy	12 November 2014	2:45	47.5K	289	9	1	https://soundcloud.com/djmaksy/dzenan-jahic-hayra-dj-maksy-chacha-remix-31bpm?in=h-thanh-t-ng-3/sets/chacha
9_7	Where I Won't Be Found Feat. NÉONHÈART [Seeking Blue Records]	Seven Lions - Where I Won't Be Found (feat. NÉONHÈART)	Seven Lions	5 June 2017	3:00	1.01M	19.4K	3,226	109	https://soundcloud.com/seven-lions/seven-lions-where-i-wont-be-found-feat-neonheart-seeking-blue?in=mrsuicidesheep/sets/seven-lions-where-i-wont-be
1_8	Mine Luv (Poolhaus Remix) // BLVK JVCK feat. H.E.R.	Sorry Neighbors #2	Poolhaus	8 March 2018	4:12	70.6K	973	123	49	https://soundcloud.com/poolhaus-music/mine-luv-poolhaus-remix?in=mugatunesofficial/sets/sorry-neighbors-2-1
8_9	TO$KA x $ATIVA - HOA SỮA	Rap luv <3	TO$KA	27 October 2018	2:27	1.07M	10.1K	630	131	https://soundcloud.com/imtoska/toka-x-ativa-hoa-sua?in=phuc-duong-2011/sets/rap-luv
7_10	Lilly Wood & The Prick and Robin Schulz - Prayer In C (GS PRODS Cha Cha Cha Remix)	chacha	Javi Valiño	5 February 2015	3:12	15.6K	96	4	Comment	https://soundcloud.com/javivalino/lilly-wood-the-prick-and-robin-schulz-prayer-in-c-gs-prods-cha-cha-cha-remix?in=h-thanh-t-ng-3/sets/chacha
6_11	Mindestens in 1000 Jahren	#1 MS DOCKVILLE 2016	Frittenbude	4 February 2010	4:42	213K	3,255	260	47	https://soundcloud.com/frittenbude/mindestens-in-1000-jahren?in=dockville/sets/einsmsdockville2016
5_12	Pep & Rash - Underground	Piss Off Your Neighbors	Future House Music	12 June 2017	3:02	399K	9,386	1,403	166	https://soundcloud.com/futurehousemusic/pep-rash-underground?in=mugatunesofficial/sets/piss-off-your-neighbors
7_13	12. CHACHA - Oceana – Cry Cry (DJ Maksy Chacha Remix) 31BPM	chacha	Marcell Pásztor	13 November 2014	3:16	32K	223	6	0	https://soundcloud.com/marcell-p-sztor/12-chacha-oceana-cry-cry-dj?in=h-thanh-t-ng-3/sets/chacha
6_14	Komplett im Arsch - Feine Sahne Fischfilet	#1 MS DOCKVILLE 2016	MissPanda	25 February 2014	4:52	130K	1,921	64	6	https://soundcloud.com/michelle-mthrfckr/komplett-im-arsch-feine-sahne?in=dockville/sets/einsmsdockville2016
1_15	High Top Versace (feat. Young Thug)	Sorry Neighbors #2	2 Chainz	1 March 2019	2:56	580K	12.5K	710	118	https://soundcloud.com/2chainz/high-top-versace-feat-young?in=mugatunesofficial/sets/sorry-neighbors-2-1
4_16	Warren G - Regulate (Destructo & Wax Motif Remix)	G-House Mixtape by Westcoast Radio	Wax Motif	9 December 2014	5:01	1.39M	27.1K	3,609	277	https://soundcloud.com/waxmotif/warren-g-regulate-destructo-wax-motif-remix?in=officialdigitalrecords/sets/g-house-mixtape-by-westcoast
7_17	"CHA CHA | Sugar (André Remix) || Click on ""Buy"" for FREE DOWNLOAD !!!"	chacha	Dancesport André	18 April 2015	2:58	37.6K	354	13	1	https://soundcloud.com/dancesportandr/single-sugar-andre-cha-cha-remix?in=h-thanh-t-ng-3/sets/chacha
6_18	Chili Town	#1 MS DOCKVILLE 2016	HINDS	4 August 2015	2:36	250K	4,042	836	0	https://soundcloud.com/hindsband/chili?in=dockville/sets/einsmsdockville2016
7_19	Hanging Tree (ChaCha) | Watazu	chacha	Watazu	5 May 2015	2:27	40.1K	327	6	0	https://soundcloud.com/djwatazu/hanging-tree-chacha-watazu?in=h-thanh-t-ng-3/sets/chacha
5_20	Matroda - Dat Vibe Pt. 2	Piss Off Your Neighbors	Good Enuff	14 June 2017	3:47	440K	13K	1,791	95	https://soundcloud.com/goodenuff/matroda-dat-vibe-pt-2?in=mugatunesofficial/sets/piss-off-your-neighbors
6_21	Streets	#1 MS DOCKVILLE 2016	ABBY official	1 January 2013	2:36	37.7K	408	82	0	https://soundcloud.com/abby-official/streets?in=dockville/sets/einsmsdockville2016
